id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
81b1aad2-9c8e-4174-96b4-db076626d5e0	20140807	1	11000146104	31000146106	11131000146118	900000000000548007
6f7b5cf8-3031-4e81-ab14-fe24d0874e2d	20140807	1	11000146104	31000146106	11191000146117	900000000000548007
60406361-f7ac-47c6-8665-6bfba01662bb	20140807	1	11000146104	31000146106	11211000146118	900000000000548007
bde2350d-1ded-43c3-b145-553ced182b6d	20140807	1	11000146104	31000146106	11261000146116	900000000000548007
7dc9226c-0ba0-4a41-b140-0875626b4e8b	20140807	1	11000146104	31000146106	11201000146115	900000000000548007
1e813805-22e1-47d3-b5ef-59d2c03cd24b	20140807	1	11000146104	31000146106	11221000146111	900000000000548007
96d94794-61fb-4dbc-b06f-cbe0eac991b4	20140807	1	11000146104	31000146106	11241000146117	900000000000548007
e33b9d1b-1561-4d15-9a3a-b6d36babc117	20140807	1	11000146104	31000146106	11181000146119	900000000000548007
5da2dd83-77f1-40cf-af7a-fd9f6323ad45	20140807	1	11000146104	31000146106	11271000146110	900000000000548007
3c525473-5a49-4bc5-be4a-08aad027a630	20140807	1	11000146104	31000146106	11281000146112	900000000000548007
dcade942-6391-41b2-a405-bf3f6f8f710c	20140807	1	11000146104	31000146106	11051000146111	900000000000548007
5eb52681-0003-45e5-a9d6-bb1ca0b974ba	20140807	1	11000146104	31000146106	11081000146118	900000000000548007
f505e660-9533-42ba-b631-50904ef043ed	20140807	1	11000146104	31000146106	11231000146113	900000000000548007
3228cfb6-67f6-4ab1-b4d3-3ee6092ddf18	20140807	1	11000146104	31000146106	11251000146119	900000000000548007
794a2db5-f7df-4c11-aea6-4127f6a85372	20140811	1	11000146104	31000146106	11361000146112	900000000000548007
6d3b49d8-195b-4d14-a1c7-7de35a6a2d25	20140807	1	11000146104	31000146106	11031000146117	900000000000548007
ac201e59-34e4-4b90-b346-8e5a8353ee01	20140807	1	11000146104	31000146106	11041000146113	900000000000548007
1cfca7df-b3a1-4064-8441-ad20a10de40b	20140807	1	11000146104	31000146106	11061000146114	900000000000548007
e5a66494-9f09-42d0-a0e5-cb540a1ddcf2	20140807	1	11000146104	31000146106	11071000146115	900000000000548007
9f8084a6-94ba-4379-934f-7b926e5b438d	20140807	1	11000146104	31000146106	11101000146111	900000000000548007
769b3fc2-633b-4531-9e1a-026ac9619d50	20140807	1	11000146104	31000146106	11111000146113	900000000000548007
f96e3509-942d-4a8e-a619-94c78467f7d9	20140807	1	11000146104	31000146106	11121000146115	900000000000548007
4650eb12-b5c3-40d1-9566-29e9b41ab1d3	20140807	1	11000146104	31000146106	11141000146114	900000000000548007
6df20242-40bc-4ab3-bbdb-4a7e91566f8d	20140807	1	11000146104	31000146106	11161000146110	900000000000548007
64d5510b-1a7c-4940-a7dc-b148971a8f15	20140807	1	11000146104	31000146106	11171000146116	900000000000548007
96fd5869-051f-41a9-95a7-946201cf35c5	20140807	1	11000146104	31000146106	11091000146116	900000000000548007
19752e07-bad5-4291-b138-9fb65cba1060	20140123	1	11000146104	31000146106	121000146116	900000000000548007
8268848e-09e9-4a12-ab4f-02d83430b13e	20140127	1	11000146104	31000146106	4071000146115	900000000000548007
47efe92a-8294-4a88-9700-a0857f02e943	20140127	1	11000146104	31000146106	3931000146119	900000000000548007
dc0e9fce-7fbf-4375-8287-c66f02c63e22	20140127	1	11000146104	31000146106	4111000146113	900000000000548007
d6d21ea3-2beb-4552-abf4-8fb49c4a2689	20140124	1	11000146104	31000146106	1031000146119	900000000000548007
7258049a-30bc-4b3d-a58f-859f18a40e98	20140127	1	11000146104	31000146106	4091000146116	900000000000548007
4067677c-3f9d-4f3e-aa7b-30423d3c1fa2	20140127	1	11000146104	31000146106	4121000146115	900000000000548007
f62831ca-f23f-44a0-a2aa-96316d537d0f	20140127	1	11000146104	31000146106	4101000146111	900000000000548007
47d34115-9b97-4409-8ac8-dca67d5fec1a	20140124	1	11000146104	31000146106	1101000146113	900000000000548007
aca80608-0bb8-4946-8159-de6f98bdfc5f	20150911	0	11000146104	31000146106	3971000146117	900000000000548007
a2bc522f-b32f-469c-bde1-221afda76df5	20140127	1	11000146104	31000146106	4211000146118	900000000000548007
636d65f5-6538-496e-8a01-f2854fb5d335	20140127	1	11000146104	31000146106	4251000146119	900000000000548007
91942201-7309-4205-a5b6-0edf1852cd2c	20140127	1	11000146104	31000146106	2841000146113	900000000000548007
331a92e1-05b8-44b9-a9ce-29931d479170	20140127	1	11000146104	31000146106	5051000146110	900000000000548007
a42eb56d-88ed-4965-8712-fc78ed82a808	20140127	1	11000146104	31000146106	4261000146116	900000000000548007
46a50eaf-0788-4bc5-93c9-e9a400a1df50	20140127	1	11000146104	31000146106	5191000146116	900000000000548007
82b6e568-b92a-4c9e-bece-a964392f9286	20140127	1	11000146104	31000146106	4291000146114	900000000000548007
17a2adb7-787f-4b6b-8997-7f5e83ea8e2b	20140124	1	11000146104	31000146106	191000146118	900000000000548007
79a12453-6acf-4eac-89e7-ee3a92b016d3	20140127	1	11000146104	31000146106	3961000146111	900000000000548007
3589e501-e91e-4627-a9d9-2551abf990b4	20140127	1	11000146104	31000146106	4141000146114	900000000000548007
023dd5a7-c5bb-44ff-8dc9-f6ff3cba744c	20140127	1	11000146104	31000146106	4311000146110	900000000000548007
4f3a6e0d-84cb-49c7-bebf-67b7717cfebf	20140124	1	11000146104	31000146106	1671000146110	900000000000548007
ee88479e-3dd6-449d-ab11-5b4cad96b1ab	20140127	1	11000146104	31000146106	4331000146115	900000000000548007
10e65ab1-6fb3-47af-a374-82a9eafb34a4	20140127	1	11000146104	31000146106	4351000146114	900000000000548007
4969269e-000c-4830-8d49-dc5ab6951ea3	20140124	1	11000146104	31000146106	221000146112	900000000000548007
bb8e0c2c-68f9-4e09-9505-894f9ebb4284	20140127	1	11000146104	31000146106	2981000146112	900000000000548007
706eb40e-cf1b-4824-87f5-093587889355	20140127	1	11000146104	31000146106	4361000146112	900000000000548007
de9b620c-849f-47b4-99c8-b6abd85b5231	20140127	1	11000146104	31000146106	3351000146112	900000000000548007
37634ca3-6a56-4de4-82ba-7ef1813227e5	20140127	1	11000146104	31000146106	3601000146116	900000000000548007
fdc25f52-2075-4753-8077-b4a7d3df4d95	20140124	1	11000146104	31000146106	1921000146115	900000000000548007
3ed2948f-af1b-47cb-987e-0c27d0ba9593	20140127	1	11000146104	31000146106	4371000146118	900000000000548007
421d8c68-903c-4362-b975-e55305cc56bd	20140127	1	11000146104	31000146106	4381000146116	900000000000548007
13808dba-67d0-4b70-b847-b8c0d10bd55a	20140127	1	11000146104	31000146106	4391000146119	900000000000548007
1d561f7c-f0db-43d1-bba6-650c52f98441	20140124	1	11000146104	31000146106	231000146114	900000000000548007
eff0bd04-f589-4c2f-b128-13ea2b45ec57	20140127	1	11000146104	31000146106	4401000146116	900000000000548007
422fc832-461e-44f5-8f8a-489112f3d97f	20140124	1	11000146104	31000146106	241000146118	900000000000548007
2214aa83-54fe-4942-808a-841065056903	20140124	1	11000146104	31000146106	251000146115	900000000000548007
c363c162-26b6-483e-9542-a01f7e20d0a4	20140127	1	11000146104	31000146106	4411000146119	900000000000548007
98e4a656-a0e4-412f-bd29-177f6faccff1	20140124	1	11000146104	31000146106	261000146117	900000000000548007
4568b2e9-050d-4800-83ee-8271dc7aa40c	20140127	1	11000146104	31000146106	3871000146112	900000000000548007
2ee650b5-fe49-4e44-9bb1-983ff4d02c34	20140127	1	11000146104	31000146106	4431000146114	900000000000548007
c2bc7a8b-6785-438d-a51d-ed477679c38d	20140127	1	11000146104	31000146106	3941000146110	900000000000548007
f0756c4c-2c36-4dcc-9562-50bc099acc7e	20140124	1	11000146104	31000146106	1841000146118	900000000000548007
559a79e4-647d-426d-9129-2dd8e0180595	20140127	1	11000146104	31000146106	4441000146118	900000000000548007
00fdc6a5-2133-4a33-85f9-c35c67cc1240	20140127	1	11000146104	31000146106	3141000146112	900000000000548007
c930856d-bcd6-478a-98a6-0a6efe8233d9	20140124	1	11000146104	31000146106	211000146119	900000000000548007
bbf862c3-7062-4d0f-9fc8-f653eee8c669	20140124	1	11000146104	31000146106	1951000146112	900000000000548007
c7372b6e-63f7-42c8-8f16-142096f4171a	20140124	1	11000146104	31000146106	301000146114	900000000000548007
80a75060-7eb8-4aab-8d06-39d5187ad087	20140127	1	11000146104	31000146106	4461000146117	900000000000548007
95779343-c016-4664-9310-1e00f00bee64	20140127	1	11000146104	31000146106	4471000146111	900000000000548007
f25d80e5-e055-44b0-8b93-5b3824af1c92	20140127	1	11000146104	31000146106	4481000146113	900000000000548007
b2e54dcf-c82d-41db-ba75-e366890c5d6e	20140124	1	11000146104	31000146106	311000146111	900000000000548007
964ad9d7-4c50-419b-a7fb-f0244b40d3e3	20140124	1	11000146104	31000146106	321000146118	900000000000548007
29615a13-0182-4416-9f23-c55204007e64	20140124	1	11000146104	31000146106	351000146110	900000000000548007
e8c173d7-b90e-481d-9fc3-7d16b171d9bd	20140124	1	11000146104	31000146106	361000146113	900000000000548007
2f3d4eb9-387b-4263-a474-7dbe8e1d74eb	20140124	1	11000146104	31000146106	331000146116	900000000000548007
668040de-8586-4474-b314-38030b9aab36	20140124	1	11000146104	31000146106	341000146112	900000000000548007
5ef7e108-9259-489b-bb46-c6596a94a772	20140127	1	11000146104	31000146106	4491000146110	900000000000548007
af0b53b7-5230-477e-a026-904fa325c118	20140127	1	11000146104	31000146106	4511000146115	900000000000548007
c49efe27-5187-4dfe-8a56-d7dac2fe2d8f	20140127	1	11000146104	31000146106	4501000146117	900000000000548007
d8586939-da7a-4a00-be82-b0fb696a216f	20140127	1	11000146104	31000146106	4521000146113	900000000000548007
6d1137f2-d523-4a3c-b243-8ea6389f00fc	20140127	1	11000146104	31000146106	2901000146115	900000000000548007
76a10012-94c7-4947-bd95-7e797fecfd8a	20140127	1	11000146104	31000146106	5221000146110	900000000000548007
98fc0000-24bb-47e7-9054-c8996265b2af	20140124	1	11000146104	31000146106	431000146110	900000000000548007
f6a96aba-c6e7-4624-b159-cfbb1b983628	20140124	1	11000146104	31000146106	391000146115	900000000000548007
eefa6437-cf1d-4926-b0c7-9cc27562a15e	20140124	1	11000146104	31000146106	401000146117	900000000000548007
eaafc433-4aea-4faa-a66b-73600c2dba99	20140124	1	11000146104	31000146106	411000146115	900000000000548007
ed25ae16-5316-4105-88e3-622f7e094c50	20140127	1	11000146104	31000146106	3231000146111	900000000000548007
d3993181-3d23-446b-a404-fb164c53bcd7	20140124	1	11000146104	31000146106	1081000146115	900000000000548007
9ca1854e-7632-4cbe-ac7e-7a0bb80745b8	20140124	1	11000146104	31000146106	2381000146113	900000000000548007
060fd1e5-1755-49f8-9de1-ec15ee84ac15	20140124	1	11000146104	31000146106	501000146118	900000000000548007
f7ea813e-2381-440e-ae45-6f4914833f65	20140124	1	11000146104	31000146106	481000146114	900000000000548007
2c9b282d-7fba-458d-90b3-f544cd924421	20140124	1	11000146104	31000146106	491000146111	900000000000548007
8a8f90dd-421b-47dd-86fb-d866a92056de	20140124	1	11000146104	31000146106	2361000146117	900000000000548007
8099a167-3fa5-409e-83c2-1f88d1eb6fb6	20140124	1	11000146104	31000146106	2331000146114	900000000000548007
250b00f3-dd11-4410-8ce1-90aab0baed27	20140124	1	11000146104	31000146106	2341000146118	900000000000548007
83aab551-7e37-4bc4-9fc1-b3b912679257	20140124	1	11000146104	31000146106	2351000146115	900000000000548007
cba31bae-a6a7-4736-a05c-ad5e7a091e79	20140124	1	11000146104	31000146106	511000146116	900000000000548007
c2e66275-7366-4a7f-8a16-b95a1d5b5bdd	20140124	1	11000146104	31000146106	2371000146111	900000000000548007
fccaa6b1-d53e-40f7-b5b5-3cce96cb7629	20140124	1	11000146104	31000146106	441000146119	900000000000548007
3731492b-c235-4b55-b3a7-5f55ab76bd85	20140124	1	11000146104	31000146106	471000146112	900000000000548007
0b93aa22-d8fe-46d1-941e-3bc5c535e803	20140124	1	11000146104	31000146106	2401000146113	900000000000548007
18cf7bdd-93b2-44a5-a850-804abcdd9452	20140124	1	11000146104	31000146106	531000146111	900000000000548007
cef16f24-d2e1-4809-9a75-8e7831f79bf3	20140127	1	11000146104	31000146106	4561000146118	900000000000548007
91b1eae7-d7a1-4a05-aa5a-04d8f9c660b1	20140127	1	11000146104	31000146106	4611000146116	900000000000548007
8f8be4c3-78b7-4758-a2f6-e8cf27725040	20140124	1	11000146104	31000146106	731000146115	900000000000548007
15f95d38-99cd-44d8-a710-fa21da0a5064	20140127	1	11000146104	31000146106	4551000146116	900000000000548007
96624eb3-107e-4f9f-aff7-33e2ae3a413b	20140127	1	11000146104	31000146106	4571000146112	900000000000548007
0534aef0-0f61-4fb4-978f-e6c436cbcfaf	20140124	1	11000146104	31000146106	2411000146110	900000000000548007
edaa9666-f1c0-47e1-b415-59ae10180883	20140127	1	11000146104	31000146106	4581000146114	900000000000548007
9da9fd89-aafd-405a-aaed-41d0fd74206a	20140127	1	11000146104	31000146106	4621000146114	900000000000548007
029e0912-cd06-4595-988b-6d8d671e303e	20140124	1	11000146104	31000146106	551000146117	900000000000548007
3c5c07bf-52be-410d-b1c6-d71684cd9b8f	20140124	1	11000146104	31000146106	571000146113	900000000000548007
5cd16671-9ff8-4d4e-bec4-22f11c8bbe6c	20140124	1	11000146104	31000146106	561000146119	900000000000548007
5a33b871-0e7b-4081-aee3-08380ec5c966	20140124	1	11000146104	31000146106	581000146110	900000000000548007
37b2122d-3119-4c08-9958-23c40ea72f97	20140124	1	11000146104	31000146106	621000146110	900000000000548007
d6efc560-34c5-4c37-8048-0efeb3a580b4	20140124	1	11000146104	31000146106	611000146117	900000000000548007
9d2a979f-7470-4e54-982f-aa4fae5a597b	20140124	1	11000146104	31000146106	591000146112	900000000000548007
c1d84c9c-1aba-4045-a136-9df8aa19537f	20140124	1	11000146104	31000146106	601000146119	900000000000548007
7983e29a-2813-4fec-b744-5aef13d74c52	20140127	1	11000146104	31000146106	4651000146117	900000000000548007
95e79fae-1944-4504-9dac-90b65e1a323a	20140124	1	11000146104	31000146106	651000146118	900000000000548007
3d85a8ed-64b2-4e29-8c9c-721f4408dfe9	20140124	1	11000146104	31000146106	661000146115	900000000000548007
3da132c2-2b9d-4615-a0e6-010f5ef7511d	20140124	1	11000146104	31000146106	631000146112	900000000000548007
00120966-1f7a-44f9-822f-5fe0c9ea21b8	20140127	1	11000146104	31000146106	4811000146117	900000000000548007
ac9526e9-d8c7-4cd6-86ab-433f320b8caf	20140127	1	11000146104	31000146106	4781000146115	900000000000548007
855d8ef9-d5ac-4419-87d3-25ecbe6fc5b0	20140124	1	11000146104	31000146106	701000146113	900000000000548007
fa49c89e-0aad-4279-a0d4-7acfe7ca9982	20140127	1	11000146104	31000146106	4771000146117	900000000000548007
b9c6c9ba-4ece-42c7-bc2b-c3b2bb070379	20140127	1	11000146104	31000146106	4691000146112	900000000000548007
9e2c041d-b22d-40ed-8c38-feda203faa23	20140127	1	11000146104	31000146106	4701000146112	900000000000548007
0c0d7e4d-96c6-4925-a1c4-c995b3ffb1f9	20140127	1	11000146104	31000146106	4681000146110	900000000000548007
0b326aa4-b17a-4914-b84d-4c529e634e61	20140127	1	11000146104	31000146106	4671000146113	900000000000548007
5a34b7d5-10d9-4aa7-a544-4aa9862d8efd	20140127	1	11000146104	31000146106	4711000146114	900000000000548007
a032abe8-2cc2-4c36-8b77-2d69e4a833be	20140124	1	11000146104	31000146106	721000146117	900000000000548007
825cd9e8-bc80-4ade-bca3-93b833c4d49c	20140127	1	11000146104	31000146106	4721000146116	900000000000548007
56bb7d0b-8aa5-42ac-abdd-241cdf89ac96	20140127	1	11000146104	31000146106	4751000146113	900000000000548007
3c2f9889-df4d-48d1-96bf-e0bf29c31178	20140127	1	11000146104	31000146106	4741000146110	900000000000548007
fd815753-3a27-43c3-a99b-0db49aae1081	20140127	1	11000146104	31000146106	4791000146118	900000000000548007
775791f7-d2f1-4183-92cf-4a70192eb9f6	20140124	1	11000146104	31000146106	671000146114	900000000000548007
216e77a5-107e-4d30-9743-002ba094f9e9	20140124	1	11000146104	31000146106	711000146110	900000000000548007
97894ef4-741b-463b-8adb-efd4b0b49e7c	20140124	1	11000146104	31000146106	681000146111	900000000000548007
ddcb6ac8-270a-43f4-a02a-b5e39e8ae89b	20140127	1	11000146104	31000146106	4801000146119	900000000000548007
6e94888c-4cfe-4f68-9aa2-d43a2dd48346	20140124	1	11000146104	31000146106	691000146113	900000000000548007
a2f721ff-d53d-40ee-bcd2-1c5a92f2899e	20140127	1	11000146104	31000146106	4821000146110	900000000000548007
f3c3b2e6-ba2d-4d77-ad05-72fafe4f5940	20140127	1	11000146104	31000146106	4851000146118	900000000000548007
b989c152-6c5c-455b-9c87-cee0f0425316	20140124	1	11000146104	31000146106	791000146119	900000000000548007
8996219c-cef9-4f71-ad1e-02fd16c1df06	20140124	1	11000146104	31000146106	1521000146110	900000000000548007
d88e103f-05db-4f72-8ad4-5f4f7cd8712a	20140127	1	11000146104	31000146106	4871000146114	900000000000548007
ad6637bf-87aa-4f1c-ae0b-2b91aaa08128	20140124	1	11000146104	31000146106	811000146118	900000000000548007
cbc0e287-bd23-4ada-b3dc-e1b10fd8d07a	20140124	1	11000146104	31000146106	1051000146113	900000000000548007
77511087-98de-479d-8fba-15d01179cd10	20140127	1	11000146104	31000146106	4881000146111	900000000000548007
6c096814-7101-4d4a-817b-9c72260f6a9c	20140124	1	11000146104	31000146106	2081000146111	900000000000548007
6e0a33b4-a96a-45df-b405-97444bb91e51	20140124	1	11000146104	31000146106	2091000146113	900000000000548007
c2af4eb7-7c88-4ca3-98fa-391db2fe7ab5	20140127	1	11000146104	31000146106	4891000146113	900000000000548007
b05c79dd-e416-4ac2-9e17-c2c4656807c8	20140127	1	11000146104	31000146106	4901000146114	900000000000548007
71345b4a-519d-4ee9-9e35-00dde7630129	20140127	1	11000146104	31000146106	4931000146116	900000000000548007
db7fa6f4-6121-4014-9a95-5f777f8c791e	20140127	1	11000146104	31000146106	4951000146110	900000000000548007
54df6348-4ebf-40fd-98ee-8c37ebd19a2d	20140127	1	11000146104	31000146106	4051000146111	900000000000548007
cc3cb881-dd17-414d-bd43-e9d5c967d8c7	20140124	1	11000146104	31000146106	1291000146111	900000000000548007
eab8ec7e-d99f-4c14-bcae-72fdc6b26b02	20140124	1	11000146104	31000146106	371000146119	900000000000548007
49664904-4123-4bf3-b81b-27392ce4c07d	20140124	1	11000146104	31000146106	781000146116	900000000000548007
355a033d-680b-49f3-8009-254ea47aade5	20140124	1	11000146104	31000146106	541000146115	900000000000548007
c1110243-adcc-43b1-9e57-23f367db51ad	20140127	1	11000146104	31000146106	3301000146111	900000000000548007
21618055-068e-4ab6-a927-713981719d8c	20140127	1	11000146104	31000146106	4171000146116	900000000000548007
e2745dd0-2d32-4f94-8295-58ef431c5714	20140124	1	11000146104	31000146106	1241000146119	900000000000548007
793f9106-034a-49c2-b20d-9acd9634ab65	20140124	1	11000146104	31000146106	1071000146117	900000000000548007
7797cda8-ea3b-48c5-96da-c53057488f0c	20140124	1	11000146104	31000146106	181000146115	900000000000548007
41b9bacc-2c30-431c-99e6-6a65218fccf6	20140124	1	11000146104	31000146106	1261000146118	900000000000548007
e04a19af-4692-4984-ab74-87aac369545f	20140124	1	11000146104	31000146106	1811000146119	900000000000548007
94068648-0ceb-4aca-8e90-bfb94b1877d9	20140124	1	11000146104	31000146106	1231000146110	900000000000548007
524dbaf5-64f0-4399-943d-7c97f4a4ba40	20140124	1	11000146104	31000146106	911000146112	900000000000548007
8132f5e3-d374-4f6a-8b72-3693e57b1aad	20140124	1	11000146104	31000146106	521000146114	900000000000548007
ff9476a0-1a8b-4f87-950d-61acb3b32f8d	20140124	1	11000146104	31000146106	2581000146115	900000000000548007
48e4651b-5e09-47f5-9122-13119486e7e7	20140124	1	11000146104	31000146106	841000146117	900000000000548007
c3171b10-40a9-49b2-ac52-5f220aaffd24	20140127	1	11000146104	31000146106	4981000146117	900000000000548007
04e89309-6282-4d72-b3b1-9ba1f205b61d	20140127	1	11000146104	31000146106	4971000146119	900000000000548007
84cd7065-2a01-45dd-84b0-8ab4698b900b	20140124	1	11000146104	31000146106	1251000146116	900000000000548007
be52efb7-27c8-4f60-bf2b-d75a08c0ec04	20140124	1	11000146104	31000146106	2471000146118	900000000000548007
91b69eca-3699-4d4d-ae10-515eed6e5399	20140124	1	11000146104	31000146106	2481000146116	900000000000548007
1f58193b-bc3c-4133-9a4b-f8eab6a44650	20140127	1	11000146104	31000146106	4991000146115	900000000000548007
e0e7c4a0-f00c-480a-845e-c1b26c52c90e	20140124	1	11000146104	31000146106	861000146116	900000000000548007
68162ed1-dc55-4797-96d1-dc9fb25a8744	20140127	1	11000146104	31000146106	5001000146114	900000000000548007
4ccae1ba-e690-4613-94e4-4d449c10d80a	20140127	1	11000146104	31000146106	5031000146116	900000000000548007
345a11e8-4aae-40f2-9bbc-428d69da82af	20140127	1	11000146104	31000146106	5041000146112	900000000000548007
